RatingID,CustomerID,RestaurantID,Score
1,122,5,3
2,107,8,3
3,52,7,2
4,66,1,5
5,33,11,5
6,110,6,5
7,135,5,4
8,115,3,4
9,55,6,5
10,41,20,5
11,33,6,4
12,116,6,4
13,103,4,4
14,133,10,5
15,42,1,4
16,122,6,5
17,131,2,4
18,66,7,3
19,73,6,3
20,96,13,5
21,44,8,4
22,139,11,1
23,115,12,4
24,31,8,4
25,46,20,4
26,137,4,3
27,104,4,5
28,86,1,4
29,120,8,1
30,129,13,5
31,3,10,4
32,92,11,4
33,13,2,4
34,149,5,3
35,70,13,4
36,105,6,3
37,72,14,3
38,123,14,5
39,117,10,4
40,41,4,2
41,128,14,4
42,53,13,3
43,16,17,5
44,147,16,4
45,125,1,5
46,95,20,5
47,59,3,4
48,110,3,5
49,8,11,4
50,25,20,4
51,40,3,1
52,137,3,4
53,149,3,4
54,104,19,3
55,31,12,4
56,105,10,5
57,133,2,3
58,78,14,5
59,135,9,5
60,10,11,2
61,149,14,5
62,34,2,4
63,69,6,2
64,99,3,4
65,107,14,5
66,9,12,2
67,138,17,4
68,75,14,5
69,150,11,5
70,112,5,4
71,89,5,4
72,12,12,4
73,33,8,4
74,76,3,4
75,41,13,5
76,133,8,5
77,112,4,4
78,10,1,4
79,81,4,4
80,148,5,5
81,83,15,5
82,137,5,5
83,145,19,5
84,6,2,4
85,20,6,5
86,86,5,4
87,110,13,5
88,19,3,4
89,106,6,2
90,54,1,5
91,150,1,3
92,69,9,5
93,116,4,5
94,84,8,5
95,67,16,5
96,125,11,4
97,95,18,3
98,96,19,5
99,39,10,5
100,30,1,3
101,74,6,4
102,54,5,4
103,139,5,5
104,8,8,5
105,127,20,5
106,26,20,3
107,126,4,5
108,61,4,5
109,113,12,4
110,20,12,4
111,38,7,4
112,34,4,4
113,31,6,5
114,40,12,3
115,50,4,5
116,137,19,4
117,135,8,4
118,25,7,2
119,59,8,5
120,109,1,5
121,41,17,3
122,116,20,2
123,125,15,5
124,59,2,2
125,20,3,4
126,140,10,5
127,97,17,4
128,90,7,4
129,47,2,4
130,133,3,4
131,95,16,4
132,63,6,4
133,92,6,2
134,135,15,4
135,41,8,4
136,58,3,4
137,132,13,4
138,71,4,5
139,105,3,3
140,47,1,4
141,10,10,4
142,58,10,5
143,47,8,2
144,42,17,3
145,145,14,3
146,40,15,4
147,17,14,4
148,109,8,2
149,31,2,5
150,102,19,4
151,16,15,4
152,4,16,5
