RestaurantID,Name,Cuisine
1,Spice Garden,Indian
2,Urban Tadka,American
3,Curry House,Fast Food
4,The Grill Room,Fast Food
5,Pasta Palace,Continental
6,Sushi Central,Italian
7,Burger Barn,Italian
8,Taco Fiesta,Japanese
9,Noodle Bar,Italian
10,Pizza Villa,American
11,Biryani Junction,Japanese
12,Green Bowl,Chinese
13,The Sandwich Co,Japanese
14,Dosa Point,Japanese
15,Cafe Mocha,Mexican
16,Wok This Way,Fast Food
17,Chaat Street,Mexican
18,Kebab Corner,American
19,Sweet Tooth,Indian
20,Fresh Bites,Chinese
